Ind1	Ind2	R	LnL(R)		U	HS	FS	PO
ESSR21 	ESSR03 	U	-57.45		-	1.41	5.11	9999
ESSR21 	ESSR04 	U	-60.13		-	1.85	5.95	9999
ESSR21 	ESSR05 	HS	-50.94		0.56	-	2.72	9999
ESSR21 	ESSR06 	U	-59.33		-	3.42	8.31	9999
ESSR21 	ESSR07 	HS	-50.53		0.20	-	1.94	9999
ESSR21 	ESSR08 	U	-58.10		-	3.05	7.83	9999
ESSR21 	ESSR09 	U	-57.51		-	3.45	8.31	9999
ESSR21 	ESSR10 	U	-47.34		-	0.82	3.38	9999
ESSR21 	ESSR11 	U	-56.08		-	2.54	6.76	9999
ESSR21 	ESSR12 	U	-59.82		-	1.90	6.37	9999
ESSR21 	ESSR13 	U	-44.39		-	2.31	5.99	9999
ESSR21 	ESSR14 	U	-62.45		-	4.66	10.04	9999
ESSR21 	ESSR15 	U	-46.46		-	1.20	4.54	9999
ESSR21 	ESSR16 	U	-58.30		-	4.37	9.51	9999
ESSR21 	ESSR17 	U	-60.97		-	1.13	4.00	9999
ESSR22 	ESSR18 	U	-54.20		-	2.25	6.17	9999
ESSR22 	ESSR19 	U	-62.74		-	5.24	11.09	9999
ESSR22 	ESSR20 	U	-58.60		-	5.43	11.09	9999
ESSR22 	ESSR01 	U	-58.16		-	3.43	8.10	9999
ESSR22 	ESSR02 	U	-57.69		-	5.48	11.16	9999
ESSR22 	ESSR03 	U	-58.88		-	0.98	3.75	9999
ESSR22 	ESSR04 	U	-61.15		-	0.45	3.75	9999
ESSR22 	ESSR05 	U	-53.42		-	1.21	3.81	9999
ESSR22 	ESSR06 	U	-65.86		-	2.91	7.65	9999
ESSR22 	ESSR07 	U	-54.74		-	4.04	9.04	9999
ESSR22 	ESSR08 	U	-59.12		-	4.21	9.32	9999
ESSR22 	ESSR09 	U	-59.51		-	2.80	7.08	9999
ESSR22 	ESSR10 	U	-50.75		-	2.66	6.14	9999
ESSR22 	ESSR11 	U	-57.10		-	3.33	7.17	9999
ESSR22 	ESSR12 	U	-61.24		-	2.84	5.88	9999
ESSR22 	ESSR13 	U	-46.00		-	0.90	2.79	9999
ESSR22 	ESSR14 	U	-65.56		-	2.87	6.25	9999
ESSR22 	ESSR15 	U	-47.50		-	1.51	4.14	9999
ESSR22 	ESSR16 	U	-59.32		-	2.35	6.75	9999
ESSR22 	ESSR17 	U	-62.96		-	3.02	7.10	9999
ESSR22 	ESSR21 	U	-61.06		-	4.34	9.44	9999
ESSR23 	ESSR18 	U	-59.13		-	2.45	6.45	9999
ESSR23 	ESSR19 	U	-67.66		-	2.12	6.82	9999
ESSR23 	ESSR20 	U	-63.52		-	3.49	8.23	9999
ESSR23 	ESSR01 	U	-63.09		-	3.68	8.44	9999
ESSR23 	ESSR02 	U	-62.62		-	2.79	6.13	9999
ESSR23 	ESSR03 	U	-63.81		-	2.12	5.45	9999
ESSR23 	ESSR04 	U	-66.08		-	3.61	8.15	9999
ESSR23 	ESSR05 	U	-58.35		-	3.71	8.42	9999
ESSR23 	ESSR06 	U	-70.79		-	4.52	10.17	9999
